PassengerId,Survived,Pclass,Sex,Age,Ticket,Fare,Cabin,Embarked,FamilySize,Title,IsAlone
57,1,2,1,21.0,C.A. 31026,10.5,Unknown,S,0,1,0
58,0,3,0,28.5,2697,7.2292,Unknown,C,0,0,0
59,1,2,1,5.0,C.A. 34651,27.75,Unknown,S,3,1,0
60,0,3,0,11.0,CA 2144,46.9,Unknown,S,7,3,0
61,0,3,0,22.0,2669,7.2292,Unknown,C,0,0,0
62,1,1,1,38.0,113572,80.0,B28,,0,1,0
63,0,1,0,45.0,36973,83.475,C83,S,1,0,1
64,0,3,0,4.0,347088,27.9,Unknown,S,5,3,0
67,1,2,1,29.0,C.A. 29395,10.5,F33,S,0,2,0
68,0,3,0,19.0,S.P. 3464,8.1583,Unknown,S,0,0,0
69,1,3,1,17.0,3101281,7.925,Unknown,S,6,1,0
70,0,3,0,26.0,315151,8.6625,Unknown,S,2,0,0
71,0,2,0,32.0,C.A. 33111,10.5,Unknown,S,0,0,0
72,0,3,1,16.0,CA 2144,46.9,Unknown,S,7,1,0
73,0,2,0,21.0,S.O.C. 14879,73.5,Unknown,S,0,0,0
74,0,3,0,26.0,2680,14.4542,Unknown,C,1,0,1
75,1,3,0,32.0,1601,56.4958,Unknown,S,0,0,0
76,0,3,0,25.0,348123,7.65,F G73,S,0,0,0
79,1,2,0,0.83,248738,29.0,Unknown,S,2,3,0
80,1,3,1,30.0,364516,12.475,Unknown,S,0,1,0
81,0,3,0,22.0,345767,9.0,Unknown,S,0,0,0
82,1,3,0,29.0,345779,9.5,Unknown,S,0,0,0
84,0,1,0,28.0,113059,47.1,Unknown,S,0,0,0
85,1,2,1,17.0,SO/C 14885,10.5,Unknown,S,0,1,0
86,1,3,1,33.0,3101278,15.85,Unknown,S,3,2,0
87,0,3,0,16.0,W./C. 6608,34.375,Unknown,S,4,0,0
89,1,1,1,23.0,19950,263.0,C23 C25 C27,S,5,1,0
90,0,3,0,24.0,343275,8.05,Unknown,S,0,0,0
91,0,3,0,29.0,343276,8.05,Unknown,S,0,0,0
92,0,3,0,20.0,347466,7.8542,Unknown,S,0,0,0
93,0,1,0,46.0,W.E.P. 5734,61.175,E31,S,1,0,1
94,0,3,0,26.0,C.A. 2315,20.575,Unknown,S,3,0,0
95,0,3,0,59.0,364500,7.25,Unknown,S,0,0,0
97,0,1,0,71.0,PC 17754,34.6542,A5,C,0,0,0
98,1,1,0,23.0,PC 17759,63.3583,D10 D12,C,1,0,1
99,1,2,1,34.0,231919,23.0,Unknown,S,1,2,1
100,0,2,0,34.0,244367,26.0,Unknown,S,1,0,1
101,0,3,1,28.0,349245,7.8958,Unknown,S,0,1,0
103,0,1,0,21.0,35281,77.2875,D26,S,1,0,1
104,0,3,0,33.0,7540,8.6542,Unknown,S,0,0,0
105,0,3,0,37.0,3101276,7.925,Unknown,S,2,0,0
106,0,3,0,28.0,349207,7.8958,Unknown,S,0,0,0
107,1,3,1,21.0,343120,7.65,Unknown,S,0,1,0
109,0,3,0,38.0,349249,7.8958,Unknown,S,0,0,0
111,0,1,0,47.0,110465,52.0,C110,S,0,0,0
112,0,3,1,14.5,2665,14.4542,Unknown,C,1,1,1
113,0,3,0,22.0,324669,8.05,Unknown,S,0,0,0
114,0,3,1,20.0,4136,9.825,Unknown,S,1,1,1
115,0,3,1,17.0,2627,14.4583,Unknown,C,0,1,0
116,0,3,0,21.0,STON/O 2. 3101294,7.925,Unknown,S,0,0,0
117,0,3,0,70.5,370369,7.75,Unknown,Q,0,0,0
118,0,2,0,29.0,11668,21.0,Unknown,S,1,0,1
119,0,1,0,24.0,PC 17558,247.5208,B58 B60,C,1,0,1
120,0,3,1,2.0,347082,31.275,Unknown,S,6,1,0
121,0,2,0,21.0,S.O.C. 14879,73.5,Unknown,S,2,0,0
123,0,2,0,32.5,237736,30.0708,Unknown,C,1,0,1
124,1,2,1,32.5,27267,13.0,E101,S,0,1,0
125,0,1,0,54.0,35281,77.2875,D26,S,1,0,1
126,1,3,0,12.0,2651,11.2417,Unknown,C,1,3,1
128,1,3,0,24.0,C 17369,7.1417,Unknown,S,0,0,0
130,0,3,0,45.0,347061,6.975,Unknown,S,0,0,0
131,0,3,0,33.0,349241,7.8958,Unknown,C,0,0,0
132,0,3,0,20.0,SOTON/O.Q. 3101307,7.05,Unknown,S,0,0,0
133,0,3,1,47.0,A/5. 3337,14.5,Unknown,S,1,2,1
134,1,2,1,29.0,228414,26.0,Unknown,S,1,2,1
135,0,2,0,25.0,C.A. 29178,13.0,Unknown,S,0,0,0
136,0,2,0,23.0,SC/PARIS 2133,15.0458,Unknown,C,0,0,0
137,1,1,1,19.0,11752,26.2833,D47,S,2,1,0
138,0,1,0,37.0,113803,53.1,C123,S,1,0,1
139,0,3,0,16.0,7534,9.2167,Unknown,S,0,0,0
140,0,1,0,24.0,PC 17593,79.2,B86,C,0,0,0
142,1,3,1,22.0,347081,7.75,Unknown,S,0,1,0
143,1,3,1,24.0,STON/O2. 3101279,15.85,Unknown,S,1,2,1
144,0,3,0,19.0,365222,6.75,Unknown,Q,0,0,0
145,0,2,0,18.0,231945,11.5,Unknown,S,0,0,0
146,0,2,0,19.0,C.A. 33112,36.75,Unknown,S,2,0,0
147,1,3,0,27.0,350043,7.7958,Unknown,S,0,0,0
148,0,3,1,9.0,W./C. 6608,34.375,Unknown,S,4,1,0
149,0,2,0,36.5,230080,26.0,F2,S,2,0,0
150,0,2,0,42.0,244310,13.0,Unknown,S,0,4,0
151,0,2,0,51.0,S.O.P. 1166,12.525,Unknown,S,0,4,0
152,1,1,1,22.0,113776,66.6,C2,S,1,2,1
153,0,3,0,55.5,A.5. 11206,8.05,Unknown,S,0,0,0
154,0,3,0,40.5,A/5. 851,14.5,Unknown,S,2,0,0
156,0,1,0,51.0,PC 17597,61.3792,Unknown,C,1,0,1
157,1,3,1,16.0,35851,7.7333,Unknown,Q,0,1,0
158,0,3,0,30.0,SOTON/OQ 392090,8.05,Unknown,S,0,0,0
161,0,3,0,44.0,371362,16.1,Unknown,S,1,0,1
162,1,2,1,40.0,C.A. 33595,15.75,Unknown,S,0,2,0
163,0,3,0,26.0,347068,7.775,Unknown,S,0,0,0
164,0,3,0,17.0,315093,8.6625,Unknown,S,0,0,0
165,0,3,0,1.0,3101295,39.6875,Unknown,S,5,3,0
166,1,3,0,9.0,363291,20.525,Unknown,S,2,3,0
168,0,3,1,45.0,347088,27.9,Unknown,S,5,2,0
170,0,3,0,28.0,1601,56.4958,Unknown,S,0,0,0
171,0,1,0,61.0,111240,33.5,B19,S,0,0,0
172,0,3,0,4.0,382652,29.125,Unknown,Q,5,3,0
173,1,3,1,1.0,347742,11.1333,Unknown,S,2,1,0
174,0,3,0,21.0,STON/O 2. 3101280,7.925,Unknown,S,0,0,0
175,0,1,0,56.0,17764,30.6958,A7,C,0,0,0
176,0,3,0,18.0,350404,7.8542,Unknown,S,2,0,0
178,0,1,1,50.0,PC 17595,28.7125,C49,C,0,1,0
179,0,2,0,30.0,250653,13.0,Unknown,S,0,0,0
180,0,3,0,36.0,LINE,0.0,Unknown,S,0,0,0
183,0,3,0,9.0,347077,31.3875,Unknown,S,6,3,0
184,1,2,0,1.0,230136,39.0,F4,S,3,3,0
185,1,3,1,4.0,315153,22.025,Unknown,S,2,1,0
188,1,1,0,45.0,111428,26.55,Unknown,S,0,0,0
189,0,3,0,40.0,364849,15.5,Unknown,Q,2,0,0
190,0,3,0,36.0,349247,7.8958,Unknown,S,0,0,0
191,1,2,1,32.0,234604,13.0,Unknown,S,0,2,0
192,0,2,0,19.0,28424,13.0,Unknown,S,0,0,0
193,1,3,1,19.0,350046,7.8542,Unknown,S,1,1,1
194,1,2,0,3.0,230080,26.0,F2,S,2,3,0
195,1,1,1,44.0,PC 17610,27.7208,B4,C,0,2,0
196,1,1,1,58.0,PC 17569,146.5208,B80,C,0,1,0
198,0,3,0,42.0,4579,8.4042,Unknown,S,1,0,1
200,0,2,1,24.0,248747,13.0,Unknown,S,0,1,0
201,0,3,0,28.0,345770,9.5,Unknown,S,0,0,0
203,0,3,0,34.0,3101264,6.4958,Unknown,S,0,0,0
204,0,3,0,45.5,2628,7.225,Unknown,C,0,0,0
205,1,3,0,18.0,A/5 3540,8.05,Unknown,S,0,0,0
206,0,3,1,2.0,347054,10.4625,G6,S,1,1,1
207,0,3,0,32.0,3101278,15.85,Unknown,S,1,0,1
208,1,3,0,26.0,2699,18.7875,Unknown,C,0,0,0
209,1,3,1,16.0,367231,7.75,Unknown,Q,0,1,0
210,1,1,0,40.0,112277,31.0,A31,C,0,0,0
211,0,3,0,24.0,SOTON/O.Q. 3101311,7.05,Unknown,S,0,0,0
212,1,2,1,35.0,F.C.C. 13528,21.0,Unknown,S,0,1,0
213,0,3,0,22.0,A/5 21174,7.25,Unknown,S,0,0,0
214,0,2,0,30.0,250646,13.0,Unknown,S,0,0,0
216,1,1,1,31.0,35273,113.275,D36,C,1,1,1
217,1,3,1,27.0,STON/O2. 3101283,7.925,Unknown,S,0,1,0
218,0,2,0,42.0,243847,27.0,Unknown,S,1,0,1
219,1,1,1,32.0,11813,76.2917,D15,C,0,1,0
220,0,2,0,30.0,W/C 14208,10.5,Unknown,S,0,0,0
221,1,3,0,16.0,SOTON/OQ 392089,8.05,Unknown,S,0,0,0
222,0,2,0,27.0,220367,13.0,Unknown,S,0,0,0
223,0,3,0,51.0,21440,8.05,Unknown,S,0,0,0
225,1,1,0,38.0,19943,90.0,C93,S,1,0,1
226,0,3,0,22.0,PP 4348,9.35,Unknown,S,0,0,0
227,1,2,0,19.0,SW/PP 751,10.5,Unknown,S,0,0,0
228,0,3,0,20.5,A/5 21173,7.25,Unknown,S,0,0,0
229,0,2,0,18.0,236171,13.0,Unknown,S,0,0,0
231,1,1,1,35.0,36973,83.475,C83,S,1,2,1
232,0,3,0,29.0,347067,7.775,Unknown,S,0,0,0
233,0,2,0,59.0,237442,13.5,Unknown,S,0,0,0
234,1,3,1,5.0,347077,31.3875,Unknown,S,6,1,0
235,0,2,0,24.0,C.A. 29566,10.5,Unknown,S,0,0,0
237,0,2,0,44.0,26707,26.0,Unknown,S,1,0,1
238,1,2,1,8.0,C.A. 31921,26.25,Unknown,S,2,1,0
239,0,2,0,19.0,28665,10.5,Unknown,S,0,0,0
240,0,2,0,33.0,SCO/W 1585,12.275,Unknown,S,0,0,0
243,0,2,0,29.0,W./C. 14263,10.5,Unknown,S,0,0,0
244,0,3,0,22.0,STON/O 2. 3101275,7.125,Unknown,S,0,0,0
245,0,3,0,30.0,2694,7.225,Unknown,C,0,0,0
246,0,1,0,44.0,19928,90.0,C78,Q,2,4,0
247,0,3,1,25.0,347071,7.775,Unknown,S,0,1,0
248,1,2,1,24.0,250649,14.5,Unknown,S,2,2,0
249,1,1,0,37.0,11751,52.5542,D35,S,2,0,0
250,0,2,0,54.0,244252,26.0,Unknown,S,1,4,1
252,0,3,1,29.0,347054,10.4625,G6,S,2,2,0
253,0,1,0,62.0,113514,26.55,C87,S,0,0,0
254,0,3,0,30.0,A/5. 3336,16.1,Unknown,S,1,0,1
255,0,3,1,41.0,370129,20.2125,Unknown,S,2,2,0
256,1,3,1,29.0,2650,15.2458,Unknown,C,2,2,0
258,1,1,1,30.0,110152,86.5,B77,S,0,1,0
259,1,1,1,35.0,PC 17755,512.3292,Unknown,C,0,1,0
260,1,2,1,50.0,230433,26.0,Unknown,S,1,2,1
262,1,3,0,3.0,347077,31.3875,Unknown,S,6,3,0
263,0,1,0,52.0,110413,79.65,E67,S,2,0,0
264,0,1,0,40.0,112059,0.0,B94,S,0,0,0
266,0,2,0,36.0,C.A. 17248,10.5,Unknown,S,0,0,0
267,0,3,0,16.0,3101295,39.6875,Unknown,S,5,0,0
268,1,3,0,25.0,347083,7.775,Unknown,S,1,0,1
269,1,1,1,58.0,PC 17582,153.4625,C125,S,1,2,1
270,1,1,1,35.0,PC 17760,135.6333,C99,S,0,1,0
272,1,3,0,25.0,LINE,0.0,Unknown,S,0,0,0
273,1,2,1,41.0,250644,19.5,Unknown,S,1,2,1
274,0,1,0,37.0,PC 17596,29.7,C118,C,1,0,1
276,1,1,1,63.0,13502,77.9583,D7,S,1,1,1
277,0,3,1,45.0,347073,7.75,Unknown,S,0,1,0
279,0,3,0,7.0,382652,29.125,Unknown,Q,5,3,0
280,1,3,1,35.0,C.A. 2673,20.25,Unknown,S,2,2,0
281,0,3,0,65.0,336439,7.75,Unknown,Q,0,0,0
282,0,3,0,28.0,347464,7.8542,Unknown,S,0,0,0
283,0,3,0,16.0,345778,9.5,Unknown,S,0,0,0
284,1,3,0,19.0,A/5. 10482,8.05,Unknown,S,0,0,0
286,0,3,0,33.0,349239,8.6625,Unknown,C,0,0,0
287,1,3,0,30.0,345774,9.5,Unknown,S,0,0,0
288,0,3,0,22.0,349206,7.8958,Unknown,S,0,0,0
289,1,2,0,42.0,237798,13.0,Unknown,S,0,0,0
290,1,3,1,22.0,370373,7.75,Unknown,Q,0,1,0
291,1,1,1,26.0,19877,78.85,Unknown,S,0,1,0
292,1,1,1,19.0,11967,91.0792,B49,C,1,2,1
293,0,2,0,36.0,SC/Paris 2163,12.875,D,C,0,0,0
294,0,3,1,24.0,349236,8.85,Unknown,S,0,1,0
295,0,3,0,24.0,349233,7.8958,Unknown,S,0,0,0
297,0,3,0,23.5,2693,7.2292,Unknown,C,0,0,0
298,0,1,1,2.0,113781,151.55,C22 C26,S,3,1,0
300,1,1,1,50.0,PC 17558,247.5208,B58 B60,C,1,2,1
303,0,3,0,19.0,LINE,0.0,Unknown,S,0,0,0
306,1,1,0,0.92,113781,151.55,C22 C26,S,3,3,0
308,1,1,1,17.0,PC 17758,108.9,C65,C,1,2,1
309,0,2,0,30.0,P/PP 3381,24.0,Unknown,C,1,0,1
310,1,1,1,30.0,PC 17485,56.9292,E36,C,0,1,0
311,1,1,1,24.0,11767,83.1583,C54,C,0,1,0
312,1,1,1,18.0,PC 17608,262.375,B57 B59 B63 B66,C,4,1,0
313,0,2,1,26.0,250651,26.0,Unknown,S,2,2,0
314,0,3,0,28.0,349243,7.8958,Unknown,S,0,0,0
315,0,2,0,43.0,F.C.C. 13529,26.25,Unknown,S,2,0,0
316,1,3,1,26.0,347470,7.8542,Unknown,S,0,1,0
317,1,2,1,24.0,244367,26.0,Unknown,S,1,2,1
318,0,2,0,54.0,29011,14.0,Unknown,S,0,4,0
319,1,1,1,31.0,36928,164.8667,C7,S,2,1,0
320,1,1,1,40.0,16966,134.5,E34,C,2,2,0
321,0,3,0,22.0,A/5 21172,7.25,Unknown,S,0,0,0
322,0,3,0,27.0,349219,7.8958,Unknown,S,0,0,0
323,1,2,1,30.0,234818,12.35,Unknown,Q,0,1,0
324,1,2,1,22.0,248738,29.0,Unknown,S,2,2,0
326,1,1,1,36.0,PC 17760,135.6333,C32,C,0,1,0
327,0,3,0,61.0,345364,6.2375,Unknown,S,0,0,0
328,1,2,1,36.0,28551,13.0,D,S,0,2,0
329,1,3,1,31.0,363291,20.525,Unknown,S,2,2,0
330,1,1,1,16.0,111361,57.9792,B18,C,1,1,1
332,0,1,0,45.5,113043,28.5,C124,S,0,0,0
333,0,1,0,38.0,PC 17582,153.4625,C91,S,1,0,1
334,0,3,0,16.0,345764,18.0,Unknown,S,2,0,0
337,0,1,0,29.0,113776,66.6,C2,S,1,0,1
338,1,1,1,41.0,16966,134.5,E40,C,0,1,0
339,1,3,0,45.0,7598,8.05,Unknown,S,0,0,0
340,0,1,0,45.0,113784,35.5,T,S,0,0,0
341,1,2,0,2.0,230080,26.0,F2,S,2,3,0
342,1,1,1,24.0,19950,263.0,C23 C25 C27,S,5,1,0
343,0,2,0,28.0,248740,13.0,Unknown,S,0,0,0
344,0,2,0,25.0,244361,13.0,Unknown,S,0,0,0
345,0,2,0,36.0,229236,13.0,Unknown,S,0,0,0
346,1,2,1,24.0,248733,13.0,F33,S,0,1,0
347,1,2,1,40.0,31418,13.0,Unknown,S,0,1,0
349,1,3,0,3.0,C.A. 37671,15.9,Unknown,S,2,3,0
350,0,3,0,42.0,315088,8.6625,Unknown,S,0,0,0
351,0,3,0,23.0,7267,9.225,Unknown,S,0,0,0
353,0,3,0,15.0,2695,7.2292,Unknown,C,2,0,0
354,0,3,0,25.0,349237,17.8,Unknown,S,1,0,1
356,0,3,0,28.0,345783,9.5,Unknown,S,0,0,0
357,1,1,1,22.0,113505,55.0,E33,S,1,1,1
358,0,2,1,38.0,237671,13.0,Unknown,S,0,1,0
361,0,3,0,40.0,347088,27.9,Unknown,S,5,0,0
362,0,2,0,29.0,SC/PARIS 2167,27.7208,Unknown,C,1,0,1
363,0,3,1,45.0,2691,14.4542,Unknown,C,1,2,1
364,0,3,0,35.0,SOTON/O.Q. 3101310,7.05,Unknown,S,0,0,0
366,0,3,0,30.0,C 7076,7.25,Unknown,S,0,0,0
367,1,1,1,60.0,110813,75.25,D37,C,1,2,1
370,1,1,1,24.0,PC 17477,69.3,B35,C,0,2,0
371,1,1,0,25.0,11765,55.4417,E50,C,1,0,1
372,0,3,0,18.0,3101267,6.4958,Unknown,S,1,0,1
373,0,3,0,19.0,323951,8.05,Unknown,S,0,0,0
374,0,1,0,22.0,PC 17760,135.6333,Unknown,C,0,0,0
375,0,3,1,3.0,349909,21.075,Unknown,S,4,1,0
377,1,3,1,22.0,C 7077,7.25,Unknown,S,0,1,0
378,0,1,0,27.0,113503,211.5,C82,C,2,0,0
379,0,3,0,20.0,2648,4.0125,Unknown,C,0,0,0
380,0,3,0,19.0,347069,7.775,Unknown,S,0,0,0
381,1,1,1,42.0,PC 17757,227.525,Unknown,C,0,1,0
382,1,3,1,1.0,2653,15.7417,Unknown,C,2,1,0
383,0,3,0,32.0,STON/O 2. 3101293,7.925,Unknown,S,0,0,0
384,1,1,1,35.0,113789,52.0,Unknown,S,1,2,1
386,0,2,0,18.0,S.O.C. 14879,73.5,Unknown,S,0,0,0
387,0,3,0,1.0,CA 2144,46.9,Unknown,S,7,3,0
388,1,2,1,36.0,27849,13.0,Unknown,S,0,1,0
390,1,2,1,17.0,SC 1748,12.0,Unknown,C,0,1,0
391,1,1,0,36.0,113760,120.0,B96 B98,S,3,0,0
392,1,3,0,21.0,350034,7.7958,Unknown,S,0,0,0
393,0,3,0,28.0,3101277,7.925,Unknown,S,2,0,0
394,1,1,1,23.0,35273,113.275,D36,C,1,1,1
395,1,3,1,24.0,PP 9549,16.7,G6,S,2,2,0
396,0,3,0,22.0,350052,7.7958,Unknown,S,0,0,0
397,0,3,1,31.0,350407,7.8542,Unknown,S,0,1,0
398,0,2,0,46.0,28403,26.0,Unknown,S,0,0,0
399,0,2,0,23.0,244278,10.5,Unknown,S,0,4,0
400,1,2,1,28.0,240929,12.65,Unknown,S,0,2,0
401,1,3,0,39.0,STON/O 2. 3101289,7.925,Unknown,S,0,0,0
402,0,3,0,26.0,341826,8.05,Unknown,S,0,0,0
403,0,3,1,21.0,4137,9.825,Unknown,S,1,1,1
404,0,3,0,28.0,STON/O2. 3101279,15.85,Unknown,S,1,0,1
405,0,3,1,20.0,315096,8.6625,Unknown,S,0,1,0
406,0,2,0,34.0,28664,21.0,Unknown,S,1,0,1
407,0,3,0,51.0,347064,7.75,Unknown,S,0,0,0
408,1,2,0,3.0,29106,18.75,Unknown,S,2,3,0
409,0,3,0,21.0,312992,7.775,Unknown,S,0,0,0
413,1,1,1,33.0,19928,90.0,C78,Q,1,1,1
415,1,3,0,44.0,STON/O 2. 3101269,7.925,Unknown,S,0,0,0
417,1,2,1,34.0,28220,32.5,Unknown,S,2,2,0
418,1,2,1,18.0,250652,13.0,Unknown,S,2,1,0
419,0,2,0,30.0,28228,13.0,Unknown,S,0,0,0
420,0,3,1,10.0,345773,24.15,Unknown,S,2,1,0
422,0,3,0,21.0,A/5. 13032,7.7333,Unknown,Q,0,0,0
423,0,3,0,29.0,315082,7.875,Unknown,S,0,0,0
424,0,3,1,28.0,347080,14.4,Unknown,S,2,2,0
425,0,3,0,18.0,370129,20.2125,Unknown,S,2,0,0
427,1,2,1,28.0,2003,26.0,Unknown,S,1,2,1
428,1,2,1,19.0,250655,26.0,Unknown,S,0,1,0
430,1,3,0,32.0,SOTON/O.Q. 392078,8.05,E10,S,0,0,0
431,1,1,0,28.0,110564,26.55,C52,S,0,0,0
433,1,2,1,42.0,SC/AH 3085,26.0,Unknown,S,1,2,1
434,0,3,0,17.0,STON/O 2. 3101274,7.125,Unknown,S,0,0,0
435,0,1,0,50.0,13507,55.9,E44,S,1,0,1
436,1,1,1,14.0,113760,120.0,B96 B98,S,3,1,0
437,0,3,1,21.0,W./C. 6608,34.375,Unknown,S,4,1,0
438,1,2,1,24.0,29106,18.75,Unknown,S,5,2,0
439,0,1,0,64.0,19950,263.0,C23 C25 C27,S,5,0,0
440,0,2,0,31.0,C.A. 18723,10.5,Unknown,S,0,0,0
441,1,2,1,45.0,F.C.C. 13529,26.25,Unknown,S,2,2,0
442,0,3,0,20.0,345769,9.5,Unknown,S,0,0,0
443,0,3,0,25.0,347076,7.775,Unknown,S,1,0,1
444,1,2,1,28.0,230434,13.0,Unknown,S,0,1,0
446,1,1,0,4.0,33638,81.8583,A34,S,2,3,0
447,1,2,1,13.0,250644,19.5,Unknown,S,1,1,1
448,1,1,0,34.0,113794,26.55,Unknown,S,0,0,0
449,1,3,1,5.0,2666,19.2583,Unknown,C,3,1,0
450,1,1,0,52.0,113786,30.5,C104,S,0,4,0
451,0,2,0,36.0,C.A. 34651,27.75,Unknown,S,3,0,0
453,0,1,0,30.0,113051,27.75,C111,C,0,0,0
454,1,1,0,49.0,17453,89.1042,C92,C,1,0,1
456,1,3,0,29.0,349240,7.8958,Unknown,C,0,0,0
457,0,1,0,65.0,13509,26.55,E38,S,0,0,0
459,1,2,1,50.0,F.C.C. 13531,10.5,Unknown,S,0,1,0
461,1,1,0,48.0,19952,26.55,E12,S,0,0,0
462,0,3,0,34.0,364506,8.05,Unknown,S,0,0,0
463,0,1,0,47.0,111320,38.5,E63,S,0,0,0
464,0,2,0,48.0,234360,13.0,Unknown,S,0,0,0
466,0,3,0,38.0,SOTON/O.Q. 3101306,7.05,Unknown,S,0,0,0
468,0,1,0,56.0,113792,26.55,Unknown,S,0,0,0
470,1,3,1,0.75,2666,19.2583,Unknown,C,3,1,0
472,0,3,0,38.0,315089,8.6625,Unknown,S,0,0,0
473,1,2,1,33.0,C.A. 34651,27.75,Unknown,S,3,2,0
474,1,2,1,23.0,SC/AH Basle 541,13.7917,D,C,0,2,0
475,0,3,1,22.0,7553,9.8375,Unknown,S,0,1,0
477,0,2,0,34.0,31027,21.0,Unknown,S,1,0,1
478,0,3,0,29.0,3460,7.0458,Unknown,S,1,0,1
479,0,3,0,22.0,350060,7.5208,Unknown,S,0,0,0
480,1,3,1,2.0,3101298,12.2875,Unknown,S,1,1,1
481,0,3,0,9.0,CA 2144,46.9,Unknown,S,7,3,0
483,0,3,0,50.0,A/5 3594,8.05,Unknown,S,0,0,0
484,1,3,1,63.0,4134,9.5875,Unknown,S,0,2,0
485,1,1,0,25.0,11967,91.0792,B49,C,1,0,1
487,1,1,1,35.0,19943,90.0,C93,S,1,2,1
488,0,1,0,58.0,11771,29.7,B37,C,0,0,0
489,0,3,0,30.0,A.5. 18509,8.05,Unknown,S,0,0,0
490,1,3,0,9.0,C.A. 37671,15.9,Unknown,S,2,3,0
492,0,3,0,21.0,SOTON/OQ 3101317,7.25,Unknown,S,0,0,0
493,0,1,0,55.0,113787,30.5,C30,S,0,0,0
494,0,1,0,71.0,PC 17609,49.5042,Unknown,C,0,0,0
495,0,3,0,21.0,A/4 45380,8.05,Unknown,S,0,0,0
497,1,1,1,54.0,36947,78.2667,D20,C,1,1,1
499,0,1,1,25.0,113781,151.55,C22 C26,S,3,2,0
500,0,3,0,24.0,350035,7.7958,Unknown,S,0,0,0
501,0,3,0,17.0,315086,8.6625,Unknown,S,0,0,0
502,0,3,1,21.0,364846,7.75,Unknown,Q,0,1,0
504,0,3,1,37.0,4135,9.5875,Unknown,S,0,1,0
505,1,1,1,16.0,110152,86.5,B79,S,0,1,0
506,0,1,0,18.0,PC 17758,108.9,C65,C,1,0,1
507,1,2,1,33.0,26360,26.0,Unknown,S,2,2,0
509,0,3,0,28.0,C 4001,22.525,Unknown,S,0,0,0
510,1,3,0,26.0,1601,56.4958,Unknown,S,0,0,0
511,1,3,0,29.0,382651,7.75,Unknown,Q,0,0,0
513,1,1,0,36.0,PC 17473,26.2875,E25,S,0,0,0
514,1,1,1,54.0,PC 17603,59.4,Unknown,C,1,2,1
515,0,3,0,24.0,349209,7.4958,Unknown,S,0,0,0
516,0,1,0,47.0,36967,34.0208,D46,S,0,0,0
517,1,2,1,34.0,C.A. 34260,10.5,F33,S,0,2,0
519,1,2,1,36.0,226875,26.0,Unknown,S,1,2,1
520,0,3,0,32.0,349242,7.8958,Unknown,S,0,0,0
